split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
val,0.4,0.6,0.69,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.69,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.7,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.7,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.3,0.7,0.2,77,45,138,698,0.6311475409836066,0.3581395348837209,0.45697329376854595,0.35
test,0.3,0.7,0.2,208,154,255,1712,0.574585635359116,0.44924406047516197,0.5042424242424243,0.34
val,0.3,0.7,0.21,69,34,146,709,0.6699029126213593,0.3209302325581395,0.4339622641509434,0.3
test,0.3,0.7,0.21,191,136,272,1730,0.5840978593272171,0.41252699784017277,0.4835443037974683,0.34
val,0.3,0.7,0.22,40,21,175,722,0.6557377049180327,0.18604651162790697,0.2898550724637681,0.3
test,0.3,0.7,0.22,148,101,315,1765,0.5943775100401606,0.31965442764578833,0.41573033707865165,0.3
val,0.3,0.7,0.23,23,15,192,728,0.6052631578947368,0.10697674418604651,0.18181818181818182,0.25
test,0.3,0.7,0.23,72,63,391,1803,0.5333333333333333,0.15550755939524838,0.2408026755852843,0.28
val,0.3,0.7,0.24,18,11,197,732,0.6206896551724138,0.08372093023255814,0.14754098360655737,0.225
test,0.3,0.7,0.24,46,56,417,1810,0.45098039215686275,0.09935205183585313,0.16283185840707967,0.28
val,0.3,0.7,0.25,18,10,197,733,0.6428571428571429,0.08372093023255814,0.14814814814814817,0.225
test,0.3,0.7,0.25,43,52,420,1814,0.45263157894736844,0.09287257019438445,0.15412186379928317,0.28
val,0.3,0.7,0.26,17,10,198,733,0.6296296296296297,0.07906976744186046,0.14049586776859505,0.225
test,0.3,0.7,0.26,34,44,429,1822,0.4358974358974359,0.0734341252699784,0.1256931608133087,0.26
val,0.3,0.7,0.27,14,7,201,736,0.6666666666666666,0.06511627906976744,0.11864406779661017,0.2
test,0.3,0.7,0.27,31,35,432,1831,0.4696969696969697,0.06695464362850972,0.11720226843100189,0.24
val,0.3,0.7,0.28,14,6,201,737,0.7,0.06511627906976744,0.11914893617021276,0.2
test,0.3,0.7,0.28,28,34,435,1832,0.45161290322580644,0.06047516198704104,0.10666666666666667,0.22
val,0.3,0.7,0.29,14,4,201,739,0.7777777777777778,0.06511627906976744,0.12017167381974249,0.2
test,0.3,0.7,0.29,25,28,438,1838,0.4716981132075472,0.05399568034557235,0.09689922480620156,0.22
val,0.3,0.7,0.3,11,3,204,740,0.7857142857142857,0.05116279069767442,0.09606986899563319,0.15
test,0.3,0.7,0.3,23,26,440,1840,0.46938775510204084,0.04967602591792657,0.08984375,0.22
val,0.3,0.7,0.31,11,3,204,740,0.7857142857142857,0.05116279069767442,0.09606986899563319,0.15
test,0.3,0.7,0.31,22,25,441,1841,0.46808510638297873,0.047516198704103674,0.08627450980392155,0.2
val,0.3,0.7,0.32,10,3,205,740,0.7692307692307693,0.046511627906976744,0.08771929824561403,0.15
test,0.3,0.7,0.32,21,24,442,1842,0.4666666666666667,0.04535637149028078,0.08267716535433071,0.18
val,0.3,0.7,0.33,10,3,205,740,0.7692307692307693,0.046511627906976744,0.08771929824561403,0.15
test,0.3,0.7,0.33,20,23,443,1843,0.46511627906976744,0.04319654427645788,0.07905138339920949,0.16
val,0.3,0.7,0.34,9,3,206,740,0.75,0.04186046511627907,0.07929515418502203,0.15
test,0.3,0.7,0.34,18,23,445,1843,0.43902439024390244,0.038876889848812095,0.07142857142857142,0.14
val,0.3,0.7,0.35,8,3,207,740,0.7272727272727273,0.037209302325581395,0.07079646017699115,0.15
test,0.3,0.7,0.35,17,23,446,1843,0.425,0.0367170626349892,0.06759443339960239,0.14
val,0.3,0.7,0.36,8,2,207,741,0.8,0.037209302325581395,0.07111111111111111,0.15
test,0.3,0.7,0.36,15,21,448,1845,0.4166666666666667,0.032397408207343416,0.06012024048096192,0.14
val,0.3,0.7,0.37,8,2,207,741,0.8,0.037209302325581395,0.07111111111111111,0.15
test,0.3,0.7,0.37,15,21,448,1845,0.4166666666666667,0.032397408207343416,0.06012024048096192,0.14
val,0.3,0.7,0.38,8,2,207,741,0.8,0.037209302325581395,0.07111111111111111,0.15
test,0.3,0.7,0.38,15,21,448,1845,0.4166666666666667,0.032397408207343416,0.06012024048096192,0.14
val,0.3,0.7,0.39,8,2,207,741,0.8,0.037209302325581395,0.07111111111111111,0.15
test,0.3,0.7,0.39,15,21,448,1845,0.4166666666666667,0.032397408207343416,0.06012024048096192,0.14
val,0.3,0.7,0.4,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.3,0.7,0.4,15,21,448,1845,0.4166666666666667,0.032397408207343416,0.06012024048096192,0.14
val,0.3,0.7,0.41,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.3,0.7,0.41,15,21,448,1845,0.4166666666666667,0.032397408207343416,0.06012024048096192,0.14
val,0.3,0.7,0.42,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.3,0.7,0.42,13,14,450,1852,0.48148148148148145,0.028077753779697623,0.053061224489795916,0.12
val,0.3,0.7,0.43,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.3,0.7,0.43,13,14,450,1852,0.48148148148148145,0.028077753779697623,0.053061224489795916,0.12
val,0.3,0.7,0.44,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.3,0.7,0.44,11,11,452,1855,0.5,0.023758099352051837,0.04536082474226804,0.12
val,0.3,0.7,0.45,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.3,0.7,0.45,10,10,453,1856,0.5,0.02159827213822894,0.041407867494824016,0.1
val,0.3,0.7,0.46,4,2,211,741,0.6666666666666666,0.018604651162790697,0.03619909502262443,0.075
test,0.3,0.7,0.46,7,5,456,1861,0.5833333333333334,0.01511879049676026,0.02947368421052632,0.08
val,0.3,0.7,0.47,4,2,211,741,0.6666666666666666,0.018604651162790697,0.03619909502262443,0.075
test,0.3,0.7,0.47,7,5,456,1861,0.5833333333333334,0.01511879049676026,0.02947368421052632,0.08
val,0.3,0.7,0.48,3,1,212,742,0.75,0.013953488372093023,0.027397260273972605,0.075
test,0.3,0.7,0.48,4,5,459,1861,0.4444444444444444,0.008639308855291577,0.01694915254237288,0.06
val,0.3,0.7,0.49,3,1,212,742,0.75,0.013953488372093023,0.027397260273972605,0.075
test,0.3,0.7,0.49,3,5,460,1861,0.375,0.0064794816414686825,0.012738853503184714,0.04
val,0.3,0.7,0.5,3,1,212,742,0.75,0.013953488372093023,0.027397260273972605,0.075
test,0.3,0.7,0.5,2,2,461,1864,0.5,0.004319654427645789,0.008565310492505354,0.04
val,0.3,0.7,0.51,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.3,0.7,0.51,2,2,461,1864,0.5,0.004319654427645789,0.008565310492505354,0.04
val,0.3,0.7,0.52,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.3,0.7,0.52,2,1,461,1865,0.6666666666666666,0.004319654427645789,0.008583690987124463,0.04
val,0.3,0.7,0.53,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.3,0.7,0.53,2,1,461,1865,0.6666666666666666,0.004319654427645789,0.008583690987124463,0.04
val,0.3,0.7,0.54,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.3,0.7,0.54,2,1,461,1865,0.6666666666666666,0.004319654427645789,0.008583690987124463,0.04
val,0.3,0.7,0.55,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
