split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
test,0.7,0.3,0.22,282,284,181,1582,0.49823321554770317,0.6090712742980562,0.5481049562682215,0.42
val,0.7,0.3,0.24,119,77,96,666,0.6071428571428571,0.5534883720930233,0.5790754257907541,0.55
test,0.7,0.3,0.24,274,261,189,1605,0.5121495327102804,0.591792656587473,0.5490981963927856,0.4
val,0.7,0.3,0.26,114,74,101,669,0.6063829787234043,0.5302325581395348,0.56575682382134,0.525
test,0.7,0.3,0.26,269,240,194,1626,0.5284872298624754,0.5809935205183585,0.5534979423868313,0.36
val,0.7,0.3,0.28,113,72,102,671,0.6108108108108108,0.5255813953488372,0.5650000000000001,0.525
test,0.7,0.3,0.28,262,228,201,1638,0.5346938775510204,0.5658747300215983,0.5498426023084995,0.36
val,0.7,0.3,0.3,105,67,110,676,0.6104651162790697,0.4883720930232558,0.5426356589147286,0.425
test,0.7,0.3,0.3,253,214,210,1652,0.5417558886509636,0.5464362850971922,0.5440860215053764,0.32
val,0.7,0.3,0.32,101,65,114,678,0.608433734939759,0.4697674418604651,0.5301837270341208,0.375
test,0.7,0.3,0.32,236,195,227,1671,0.5475638051044084,0.509719222462203,0.5279642058165548,0.22
val,0.7,0.3,0.34,97,62,118,681,0.610062893081761,0.4511627906976744,0.5187165775401069,0.325
test,0.7,0.3,0.34,233,176,230,1690,0.5696821515892421,0.5032397408207343,0.5344036697247706,0.22
val,0.7,0.3,0.36,94,59,121,684,0.6143790849673203,0.4372093023255814,0.5108695652173914,0.275
test,0.7,0.3,0.36,224,170,239,1696,0.5685279187817259,0.4838012958963283,0.5227537922987165,0.2
val,0.7,0.3,0.38,93,58,122,685,0.6158940397350994,0.4325581395348837,0.5081967213114755,0.275
test,0.7,0.3,0.38,219,157,244,1709,0.5824468085106383,0.47300215982721383,0.5220500595947556,0.18
val,0.7,0.3,0.4,91,56,124,687,0.6190476190476191,0.4232558139534884,0.5027624309392266,0.275
test,0.7,0.3,0.4,215,143,248,1723,0.6005586592178771,0.46436285097192226,0.5237515225334958,0.18
